state,city,center_num,center_avg,city_avg,Marks
MAHARASHTRA,LATUR,310950,263.98744769874475,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310951,257.8208333333333,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310952,264.52320675105483,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310953,261.3755274261603,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310954,194.42134831460675,260.65365080654993,202.28110229068648
MAHARASHTRA,MALEGAON,313501,204.328007518797,200.8958815363258,202.28110229068648
MAHARASHTRA,MALEGAON,313502,195.8341121495327,200.8958815363258,202.28110229068648
MAHARASHTRA,MALEGAON,313503,200.84976525821597,200.8958815363258,202.28110229068648
MAHARASHTRA,MALEGAON,313504,186.92018779342723,200.8958815363258,202.28110229068648
MAHARASHTRA,MALEGAON,313505,207.07407407407408,200.8958815363258,202.28110229068648
MAHARASHTRA,MUMBAI,311001,212.60223804679552,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311002,218.8387434554974,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311003,222.2149732620321,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311004,221.33711691259933,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311005,227.2561274509804,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311006,206.5035765379113,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311007,210.14756446991404,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311008,209.3376251788269,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311009,219.59032716927453,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311010,213.0,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311011,225.71782178217822,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311012,232.62847790507365,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311013,217.50171232876713,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311014,216.61552346570397,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311015,216.30922242314648,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311016,221.14147286821705,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311017,219.97717842323652,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311018,224.1095041322314,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311019,224.28189300411523,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311020,210.83333333333334,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311021,221.1391862955032,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311022,223.19198312236287,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311023,204.96989247311828,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311024,216.81330472103005,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311025,209.9678800856531,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311026,219.40632054176072,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311027,209.12612612612614,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311028,216.32380952380953,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311029,224.8537170263789,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311030,211.5507614213198,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311031,212.23677581863979,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311032,205.7070707070707,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311033,222.07462686567163,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311034,230.145,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311035,209.512,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311036,226.02964959568735,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311037,218.912,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311038,223.22727272727272,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311039,218.0830945558739,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311040,225.03735632183907,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311041,235.83142857142857,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311042,231.78386167146974,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311043,218.55428571428573,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311044,217.32415902140673,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311045,239.65749235474007,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311046,230.66775244299674,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311047,220.07843137254903,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311048,233.23102310231022,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311049,208.15140845070422,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311050,209.76534296028882,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311051,208.96108949416342,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311052,228.61417322834646,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311053,206.55172413793105,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311054,224.46724890829694,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311055,204.39406779661016,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311056,209.80851063829786,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311057,219.2801724137931,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311058,222.43478260869566,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311059,237.0995260663507,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311060,209.69892473118279,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311061,255.4972972972973,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311062,240.43093922651934,219.07844702467344,202.28110229068648
MAHARASHTRA,MUMBAI,311063,220.6605504587156,219.07844702467344,202.28110229068648
MAHARASHTRA,NAGPUR,311101,223.58881256133463,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311102,219.77374599786552,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311103,213.17293233082708,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311104,211.13015463917526,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311105,210.9879518072289,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311106,208.09915014164307,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311107,207.73631123919307,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311108,212.2697274031564,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311109,204.09259259259258,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311110,211.3413597733711,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311111,213.27465857359635,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311112,219.71251931993817,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311113,220.0949263502455,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311114,207.66206896551725,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311115,214.71501706484642,212.48165869218502,202.28110229068648
MAHARASHTRA,NAGPUR,311116,206.63500931098696,212.48165869218502,202.28110229068648
